Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness,Temperature,Good Taste,Good Quantity,Output,Reviews,churn_risk,risk_score,risk_segment,customer_id,customer_name,reason_code,crm_action,crm_channel,crm_kpi
24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Food delivery apps,Direct call,Snacks,Dinner,Veg foods (Breakfast / Lunch / Dinner),Bakery items (snacks),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Anytime (Mon-Sun),More than 60 minutes,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Unimportant,Slightly Important,Unimportant,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,NIL,0,0.1331771738737605,Low Risk,CUST-0076,Hendra Santoso,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Male,Single,Student,10001 to 25000,Post Graduate,4,12.9037,77.5376,560061,Food delivery apps,Walk-in,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly disagree,Strongly Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Nil,0,0.2711975331433107,Low Risk,CUST-0077,Bagas Santoso,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
23,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Important,Very Important,Unimportant,Moderately Important,Important,Very Important,Very Important,Important,Yes,NIL,0,0.1809129595945658,Low Risk,CUST-0078,Rani Santoso,Promo Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
23,Male,Single,Student,No Income,Post Graduate,3,12.9343,77.6044,560029,Food delivery apps,Direct call,Lunch,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Maybe,Very Important,Very Important,Slightly Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Nil,0,0.1812055073919669,Low Risk,CUST-0079,Farhan Kurniawan,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
22,Male,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Food delivery apps,Direct call,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Yes,Weekend (Sat & Sun),60 minutes,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Important,Very Important,Unimportant,Moderately Important,Very Important,Moderately Important,Important,Very Important,Yes,NIL,0,0.11527064413995,Low Risk,CUST-0080,Doni Kurniawan,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
23,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Direct call,Dinner,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Agree,Disagree,Disagree,Yes,Important,Very Important,Moderately Important,Moderately Important,Important,Very Important,Very Important,Very Important,Yes,NIL,0,0.1608685103590093,Low Risk,CUST-0081,Andi Kurniawan,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Female,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Very Important,Very Important,Slightly Important,Important,Very Important,Important,Very Important,Very Important,Yes,Nil,0,0.0989609906398849,Low Risk,CUST-0082,Dewi Ramadhani,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,Neutral,Agree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL,0,0.1522495404295717,Low Risk,CUST-0083,Fajar Ramadhani,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
28,Male,Married,Self Employeed,10001 to 25000,Graduate,2,13.0289,77.54,560022,Food delivery apps,Direct call,Breakfast,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,No,Anytime (Mon-Sun),60 minutes,Agree,Neutral,Neutral,Disagree,Neutral,No,Important,Moderately Important,Slightly Important,Slightly Important,Important,Slightly Important,Important,Slightly Important,No,I hate online deliveries.Had harsh past experiences with delivery boys and the company responses,1,0.5961486935174436,Medium Risk,CUST-0084,Indra Ramadhani,Convenience Risk,Promo personal dan rekomendasi restoran sesuai preferensi,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,13.0289,77.54,560022,Food delivery apps,Web browser,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Bakery items (snacks),Agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,No,Weekdays (Mon-Fri),45 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,No,Slightly Important,Very Important,Slightly Important,Important,Slightly Important,Very Important,Important,Important,No,nil,1,0.6436116820722839,Medium Risk,CUST-0085,Hana Maulana,Promo Risk,Loyalty point dan bundle promo,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,12.9698,77.75,560066,Food delivery apps,Web browser,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly disagree,Yes,Weekend (Sat & Sun),More than 60 minutes,Agree,Agree,Neutral,Neutral,Disagree,Yes,Moderately Important,Important,Important,Important,Important,Very Important,Important,Slightly Important,No,I expect the food that is being delivered to be hot and fresh,1,0.6353606825684949,Medium Risk,CUST-0086,Rama Maulana,Service Risk,Promo personal dan rekomendasi restoran sesuai preferensi,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
22,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Important,Very Important,Important,Moderately Important,Important,Important,Moderately Important,Yes,I love swiggy and their app user interface,0,0.2375914672049074,Low Risk,CUST-0087,Tono Maulana,Time Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Walk-in,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,0,0.1470946289963816,Low Risk,CUST-0088,Maya Pertiwi,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
23,Male,Single,Student,No Income,Post Graduate,1,12.9561,77.5921,560027,Walk-in,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Disagree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Important,Moderately Important,Important,Important,Yes,No Comments!,0,0.3132212751384234,Low Risk,CUST-0089,Zaki Pertiwi,Promo Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
26,Male,Married,Employee,25001 to 50000,Graduate,5,12.9579,77.6309,560007,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,No,Weekend (Sat & Sun),60 minutes,Agree,Agree,Neutral,Agree,Agree,No,Important,Important,Moderately Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,No,I expect quality food rather than delivery time and ratings,1,0.2467729749880052,Low Risk,CUST-0090,Rizky Pertiwi,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
32,Female,Married,House wife,No Income,Uneducated,3,13.014,77.5658,560012,Food delivery apps,Direct call,Dinner,Dinner,Veg foods (Breakfast / Lunch / Dinner),Sweets,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Neutral,Yes,Important,Important,Important,Very Important,Important,Very Important,Important,Slightly Important,No,Expect the delivery person to understand our hunger,1,0.7857042929755218,High Risk,CUST-0091,Sari Nugroho,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
23,Male,Single,Student,No Income,Post Graduate,2,12.9442,77.6076,560030,Food delivery apps,Walk-in,Breakfast,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nil,0,0.1653288711703572,Low Risk,CUST-0092,Rafi Nugroho,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
22,Female,Single,Employee,10001 to 25000,Graduate,3,12.9698,77.75,560066,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Neutral,Disagree,Neutral,Yes,Very Important,Important,Moderately Important,Important,Very Important,Very Important,Important,Important,Yes,NIL,0,0.2255600287978617,Low Risk,CUST-0093,Yuni Nugroho,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Female,Single,Student,No Income,Ph.D,3,12.9438,77.5738,560004,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Moderately Important,Important,Moderately Important,Important,Important,Yes,Need more delivery bandwidth even in rural areas,0,0.1803557861807271,Low Risk,CUST-0094,Dina Wibowo,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
26,Male,Single,Employee,25001 to 50000,Graduate,2,12.9261,77.6221,560034,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Yes,Anytime (Mon-Sun),15 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,No,Important,Important,Moderately Important,Important,Important,Slightly Important,Important,Moderately Important,Yes,Requires professional packaging with no leakage,0,0.3615186686969712,Low Risk,CUST-0095,Arif Wibowo,Time Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
28,Male,Married,Employee,More than 50000,Graduate,3,12.9698,77.75,560066,Food delivery apps,Web browser,Lunch,Dinner,Veg foods (Breakfast / Lunch / Dinner),Sweets,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,No,NIL,1,0.5930740457818264,Medium Risk,CUST-0096,Hendra Wibowo,Service Risk,Promo personal dan rekomendasi restoran sesuai preferensi,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
26,Male,Single,Employee,More than 50000,Post Graduate,2,12.9698,77.75,560066,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Agree,Strongly Agree,Agree,Agree,Yes,Important,Moderately Important,Important,Important,Important,Moderately Important,Very Important,Important,No,Need more delivery people to cover all orders,1,0.3626312287668631,Low Risk,CUST-0097,Bagas Hidayat,Promo Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Male,Single,Student,No Income,Post Graduate,1,12.9343,77.6044,560029,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Important,Important,Important,Important,Yes,Nil,0,0.1397579383381472,Low Risk,CUST-0098,Yoga Hidayat,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Male,Single,Employee,Below Rs.10000,Graduate,2,12.9698,77.75,560066,Food delivery apps,Web browser,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Agree,Agree,Neutral,No,Important,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Important,Important,No,NIL,1,0.5097612737966908,Medium Risk,CUST-0099,Farhan Hidayat,Service Risk,Promo personal dan rekomendasi restoran sesuai preferensi,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
18,Male,Single,Student,No Income,Graduate,5,12.9635,77.5821,560002,Food delivery apps,Web browser,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Agree,Strongly disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Agree,Agree,Yes,Important,Moderately Important,Important,Important,Very Important,Important,Moderately Important,Important,Yes,NIL,0,0.1593977400687086,Low Risk,CUST-0100,Doni Putra,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
21,Male,Single,Student,No Income,Post Graduate,4,12.977,77.5773,560009,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Moderately Important,Important,Very Important,Very Important,Important,Moderately Important,Very Important,Very Important,Yes,nil,0,0.5076210457683599,Medium Risk,CUST-0101,Andi Putra,Time Risk,Promo makan siang cepat dan reminder jam makan,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
25,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.9925,77.5633,560021,Walk-in,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,No,0,0.2989196496465027,Low Risk,CUST-0102,Budi Putra,Time Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
23,Male,Single,Employee,10001 to 25000,Post Graduate,2,12.985,77.5533,560010,Food delivery apps,Direct call,Lunch,Dinner,Veg foods (Breakfast / Lunch / Dinner),Sweets,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,Slightly Important,Yes,Want different cuisine dishes options in my location,0,0.3265631899411831,Low Risk,CUST-0103,Fajar Salsabila,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Female,Married,Employee,25001 to 50000,Graduate,4,12.9551,77.6593,560017,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Maybe,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Important,No,I had bad experience with delivery person. They need to be polite,1,0.6746220557136797,Medium Risk,CUST-0104,Gita Salsabila,Time Risk,Promo makan siang cepat dan reminder jam makan,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
31,Female,Married,House wife,No Income,School,5,13.0289,77.54,560022,Food delivery apps,Web browser,Breakfast,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Agree,Disagree,Agree,Yes,Important,Very Important,Very Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,Yes,I'm happy with the service of online delivery startups,0,0.2709005397932257,Low Risk,CUST-0105,Hana Salsabila,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Male,Prefer not to say,Self Employeed,More than 50000,Ph.D,2,13.0138,77.5877,560006,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),15 minutes,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Moderately Important,Slightly Important,No,I need the order to be delivered fast to my location,1,0.8658582355757294,High Risk,CUST-0106,Rama Firmansyah,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
32,Female,Married,Employee,25001 to 50000,Graduate,5,12.9261,77.6221,560034,Food delivery apps,Web browser,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Agree,Agree,Agree,Disagree,Yes,Important,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,Yes,I'm satisfied with the service of swiggy,0,0.2522523940490839,Low Risk,CUST-0107,Lina Firmansyah,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Male,Single,Employee,25001 to 50000,Graduate,3,12.9766,77.5993,560001,Food delivery apps,Direct call,Breakfast,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Yes,Very Important,Very Important,Important,Moderately Important,Slightly Important,Moderately Important,Important,Very Important,Yes,"I'm satisfied with zomato, I'm also a premium member",0,0.1885916366891666,Low Risk,CUST-0108,Wahyu Firmansyah,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
27,Female,Married,Self Employeed,More than 50000,Graduate,5,12.9766,77.5993,560001,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,No,"Freshness is important but when it is packed by the usual package, I feel it's losing it is freshness and quality",1,0.7609015891605437,High Risk,CUST-0109,Nanda Ananda,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
